name,filtered_genre,gender,race,api,black,hispanic,white,populairty
AWAY,Rap,unknown,white,0.005187912,0.097337805,0.010695743,0.8867785,60
Aaliyah,EDM,female,white,0.005971201,0.1581789,0.012410871,0.823439,43.94444444
Aaron Copland,Classical,male,white,0.003046508,0.0676074,0.013925247,0.91542083,8.191489362
Aaron Krause,Indie,male,white,0.006754546,0.002646678,0.02592752,0.9646713,66
Aaron Lewis,Country,male,white,0.002414326,0.2909863,0.015097543,0.6915019,52.03448276
Aazar,EDM,unknown,white,0.023741899,0.065090686,0.030425271,0.88074213,54
Ab-Soul,Hip-hop,unknown,white,0.01013798,0.06843916,0.012003849,0.909419,51.21052632
Abbey Lincoln,Jazz,female,white,0.005574485,0.05025262,0.029346429,0.91482645,23.42857143
Abel Zavala,Rap,male,hispanic,0.028884852,0.004301706,0.86102754,0.10578595,54.55555556
Abir,Pop,female,white,0.28195524,0.16728741,0.13725643,0.41350088,63
Abraham Vazquez,Pop,male,hispanic,0.004826587,0.005404905,0.9421842,0.04758424,67
Abstract,Hip-hop,unknown,white,0.008023987,0.032513916,0.028226076,0.9312361,59
Academy of Ancient Music,Classical,unknown,white,0.005989285,0.008531467,0.011079787,0.97439945,48.09090909
Academy of St. Martin in the Fields,Classical,male,white,0.002199355,0.23010989,0.015536792,0.752154,34.73239437
Ace Hood,Hip-hop,unknown,white,0.01606627,0.1676664,0.022727372,0.79354,55
Aceyalone,Hip-hop,unknown,white,0.014048887,0.0723627,0.040466618,0.87312174,37.33333333
Achille Togliani,Pop,male,white,0.008128696,0.006249711,0.039279398,0.9463422,2.333333333
Action Bronson,Hip-hop,male,white,0.002976903,0.15372051,0.015578587,0.8277239,55.66666667
Adalberto Santiago,Jazz,male,hispanic,0.05276738,0.000705011,0.9100735,0.03645413,31.16666667
Adam Calhoun,Country,male,white,0.002825896,0.27345046,0.036746155,0.6869775,61.5
Adam Friedman,Pop,male,white,0.003706669,0.008653423,0.018653078,0.9689868,53
Adam Hicks,Pop,male,white,0.0031858,0.20873752,0.020807829,0.76726884,56.28571429
Adam Levine,Pop,male,white,0.007174845,0.087424174,0.030926194,0.8744748,60.5
Adele,Pop,female,white,0.023994762,0.045621794,0.07362679,0.8567566,60.47619048
Adem,Metal,male,white,0.04706421,0.0438326,0.08186748,0.82723564,45
Adina Howard,Pop,female,white,0.006098019,0.24142358,0.021010809,0.7314676,56
Adje,Hip-hop,female,white,0.021124532,0.1293244,0.19119713,0.658354,72
Admiral Bailey,EDM,female,white,0.22808182,0.03270808,0.14698312,0.592227,44
Adrian Marcel,Pop,male,white,0.016390042,0.05571646,0.3603887,0.56750476,59
Adrianne Pieczonka,Classical,female,white,0.003420111,0.000779235,0.006875433,0.9889253,45
Adriel Favela,Pop,unknown,hispanic,0.052837357,0.006961864,0.7013705,0.23883037,62.4
Adrienne Albert,Classical,female,white,0.002434679,0.007753622,0.012594413,0.97721726,0
Adventure Club,EDM,unknown,white,0.004600543,0.009371262,0.019949889,0.96607834,53.5
Aerosmith,Rock,unknown,white,0.003321667,0.1282885,0.019220559,0.8491693,40.34090909
Aesop Rock,Hip-hop,male,white,0.002445213,0.038767964,0.009605468,0.9491814,42.77777778
Afro Bros,Hip-hop,male,white,0.007427474,0.00770079,0.08398649,0.9008852,78
Afrojack,EDM,unknown,white,0.007036399,0.06602848,0.008220498,0.91871464,52.78571429
Against The Current,Pop,female,white,0.101341076,0.05155054,0.11495764,0.7321508,75
Agnes Baltsa,Classical,female,white,0.102170795,0.011240207,0.07393756,0.8126515,34
Agnes Giebel,Classical,female,white,0.00426208,0.00504513,0.014006378,0.97668636,0
Agnetha Fältskog,Pop,female,white,0.001272761,0.009949028,0.008319584,0.9804586,42.33333333
Agust D,Rap,unknown,white,0.07089317,0.07273198,0.073726036,0.7826488,70.4
Ahmet Kaya,Rock,male,white,0.2287866,0.018519213,0.09218235,0.66051185,60
Ahrix,EDM,unknown,white,0.001567073,0.053536754,0.009767477,0.93512875,78
Aiko,Pop,female,white,0.025898807,0.013867625,0.0134603,0.94677323,72
Aim,Pop,unknown,api,0.9324799,0.003587489,0.012128773,0.05180383,50.71428571
Aimee Mann,Indie,female,white,0.007924641,0.1051415,0.01865036,0.86828357,44.16666667
Aitch,Hip-hop,unknown,white,0.0064024,0.040927302,0.013823533,0.93884677,62
Akademie für Alte Musik Berlin,Classical,unknown,white,0.00353083,0.019909665,0.013595724,0.9629638,50
Akin,Country,unknown,white,0.007452128,0.052892935,0.013428318,0.9262267,61
Akon,EDM,unknown,white,0.047126096,0.02326308,0.028455706,0.9011551,52.53719008
Al Alberts,Indie,male,white,0.004489563,0.124429435,0.019270089,0.8518109,36.66666667
Al Cohn,Jazz,male,white,0.002052959,0.08216193,0.012099216,0.90368587,6.6
Al Di Meola,Jazz,male,white,0.013716508,0.007044534,0.06086132,0.9183776,33.94117647
Al Jarreau,Jazz,male,white,0.003535634,0.024141314,0.004022023,0.96830106,36.90322581
Al Kooper,Country,male,white,0.006579856,0.028470132,0.017053058,0.9478969,30.65909091
Alabama,Country,unknown,hispanic,0.08085637,0.007018474,0.7856219,0.12650327,36.07009346
Alain Planes,Classical,male,hispanic,0.11328062,0.001834898,0.6931732,0.19171123,55.66666667
Alan Gilbert,Classical,male,white,0.008118954,0.017682297,0.08474743,0.88945127,0.75
Alan Jackson,Country,male,white,0.006057845,0.006990091,0.04741377,0.93953836,44.73819742
Alan Parsons,Oldies,male,white,0.005682019,0.032737512,0.025471264,0.9361091,37.33333333
Alban Berg,Classical,male,white,0.007623726,0.014215409,0.027957372,0.9502035,1.615384615
Alban Berg Quartett,Classical,male,white,0.25104022,0.024490368,0.018696014,0.7057734,29
Albert Hammond,EDM,male,white,0.002345198,0.28973186,0.01062143,0.69730157,41.86666667
Albert King,Rock,male,white,0.005530101,0.124059096,0.017633785,0.852777,28.10526316
Albert Lortzing,Classical,male,white,0.004236403,0.01675559,0.012597417,0.9664106,0
Alda Noni,Classical,female,white,0.008974537,0.003674056,0.29018652,0.6971649,0
Aldo Ciccolini,Classical,male,white,0.001477413,0.0017951,0.022926325,0.9738012,40.5
Aldo Donà,Pop,male,white,0.00295545,0.2637043,0.026887244,0.706453,0
Aldo Protti,Classical,male,white,0.00267129,0.003753504,0.021507716,0.9720675,0.15
Alec Benjamin,Pop,male,white,0.13433762,0.06847347,0.0754184,0.7217705,69.02439024
Alegre All Stars,Jazz,unknown,white,0.003168199,0.10994575,0.020494685,0.86639136,13.6
Alejandra Guzman,Pop,female,hispanic,0.053243715,0.003018193,0.8953832,0.048354886,51.45
Alejandro Fernández,Pop,male,hispanic,0.049337745,0.023573125,0.6245783,0.30251086,48.78873239
Alejandro Sanz,Pop,male,hispanic,0.008750768,0.003975345,0.8955264,0.091747425,47.77777778
Aleks Syntek,Pop,male,white,0.001655003,0.013504474,0.017346729,0.96749383,55.6875
Alessandro Corbelli,Classical,male,white,0.001505904,0.001744544,0.009010201,0.9877394,33
Alessia Cara,EDM,female,white,0.023318049,0.021747723,0.18849197,0.7664423,58.62162162
Alessio Bax,Classical,male,white,0.011960144,0.15292373,0.02268495,0.8124312,61
Alesso,EDM,unknown,white,0.024258425,0.029510412,0.037030857,0.9092004,62.92857143
Alex Newell,EDM,male,white,0.004026673,0.21741018,0.019064974,0.75949824,65
Alex Rose,Rap,male,white,0.010337631,0.19376713,0.019087845,0.7768074,73.5
Alex Turner,Indie,male,white,0.003596129,0.08249841,0.012519941,0.9013855,47.25
Alex Ubago,Pop,male,hispanic,0.07500847,0.002052909,0.8850482,0.037890494,59.625
Alexander 23,Indie,male,white,0.01173145,0.20017187,0.025692904,0.7624037,70.25
Alexander Borodin,Classical,male,white,0.006239885,0.13444223,0.033078883,0.826239,21.23809524
Alexander Gretchaninov,Classical,male,white,0.002082726,0.010674257,0.012006678,0.9752363,0.5
Alexander King,Country,male,white,0.006166613,0.21402614,0.016480869,0.76332635,54
Alexander Kipnis,Classical,male,white,0.002828726,0.00995088,0.009152382,0.97806805,0
Alexander Malter,Classical,male,white,0.002677856,0.08774416,0.012985332,0.8965927,52
Alexander Scriabin,Classical,male,white,0.00203549,0.1392623,0.009579808,0.84912235,3.31147541
Alexandre Tansman,Classical,male,white,0.003778383,0.028811716,0.01602001,0.95138985,4
Alexandre Tharaud,Classical,male,white,0.1327652,0.100677915,0.03348421,0.7330727,52.125
Alexei Lubimov,Classical,male,white,0.00979893,0.018946014,0.010150713,0.96110433,50
Alexis Weissenberg,Classical,male,white,0.002639763,0.000570536,0.009321763,0.9874679,48.66666667
Alexis y Fido,Hip-hop,male,white,0.030727293,0.051303677,0.047805063,0.870164,56.11111111
Alfonso X El Sabio,Classical,male,hispanic,0.22265893,0.015977096,0.4919617,0.2694023,0
Alfred Brendel,Classical,male,white,0.006679927,0.02595066,0.037752874,0.9296166,37.375
Alfred Deller,Classical,male,white,0.005486254,0.008360498,0.018221052,0.9679322,0
Alfred Prinz,Classical,male,white,0.002778766,0.044453178,0.018063042,0.93470496,46
Alfredo Olivas,Pop,male,hispanic,0.02905939,0.009958016,0.6415068,0.31947586,61.8
Ali,Pop,male,api,0.37950528,0.20048542,0.08281441,0.3371949,55.66666667
Ali & Gipp,Hip-hop,male,white,0.004514164,0.05654067,0.025483549,0.9134617,57
Ali Farka Touré,Pop,male,white,0.07148156,0.02948008,0.028266512,0.8707718,48.33333333
Alice Coltrane,Jazz,female,white,0.046965994,0.04761927,0.053474646,0.85194016,28.6744186
Alice Gerrard,Oldies,female,white,0.010058414,0.04752845,0.025259772,0.9171533,34
Alicia Keys,Pop,female,white,0.004935297,0.08030972,0.016071344,0.89868367,59.37333333
Alicia de Larrocha,Classical,female,white,0.14058742,0.003897735,0.34946352,0.5060513,30.25
Alida,Pop,female,white,0.21482627,0.011842079,0.35153034,0.42180127,86
Alina Baraz,Pop,female,hispanic,0.01393811,0.001543263,0.94747883,0.03703984,60.34782609
Alka Yagnik,Pop,female,white,0.002927417,0.002300061,0.008294227,0.9864783,49.42857143
Alkilados,Pop,unknown,hispanic,0.026276544,0.008127582,0.85999244,0.105603404,61
All Time Low,Pop,unknown,white,0.003843071,0.06045817,0.01070255,0.92499614,52.23404255
Alla Pugacheva,Pop,female,hispanic,0.061503217,0.000739952,0.8485783,0.089178555,32.44444444
Allday,Hip-hop,unknown,white,0.012066983,0.073853806,0.022813324,0.89126587,55
Ally Brooke,EDM,female,white,0.001968157,0.049785294,0.011440653,0.9368059,70
Almighty,Rap,unknown,white,0.004603654,0.13800018,0.050769676,0.8066265,69.75
Alok,Pop,male,hispanic,0.07187178,0.06801501,0.43956226,0.420551,75.5
AlunaGeorge,Indie,unknown,white,0.011380199,0.12724616,0.037428517,0.8239451,60.14285714
Alvaro Torres,Pop,male,hispanic,0.01817588,0.001123434,0.92994255,0.050758094,39.66666667
Alvin Alcorn,Jazz,male,white,0.03619247,0.12746169,0.15653348,0.6798124,2
Alyson Stoner,Pop,female,white,0.005574087,0.07593379,0.022387238,0.8961049,55.5
Amadeus Quartet,Classical,male,white,0.40784484,0.027499095,0.1513576,0.41329846,0.5625
Amaia Montero,Pop,female,hispanic,0.015402594,0.002732315,0.70853215,0.273333,60.5
Amanda Seyfried,Pop,female,white,0.011250057,0.004491622,0.03269523,0.95156306,62.08333333
Amanda Shires,Country,female,white,0.080622375,0.006386938,0.027784845,0.88520586,61
Amber Coffman,Pop,female,white,0.002222854,0.008762442,0.010260039,0.9787547,56.75
Ambrosia,Country,female,white,0.03905078,0.013205137,0.4091471,0.538597,41.63636364
Amedeo Minghi,Pop,male,white,0.44991884,0.046326235,0.023454806,0.48030013,51
Amerie,EDM,unknown,white,0.01426265,0.19179186,0.02812883,0.7658167,48.875
Amil,Pop,male,white,0.041284144,0.060107384,0.040133182,0.85847527,44.66666667
Amilcare Ponchielli,Classical,male,white,0.015644563,0.002087471,0.057647984,0.92462,1.324324324
Aminé,Hip-hop,unknown,white,0.011825192,0.13925588,0.033044837,0.81587404,66.77777778
Amos Lee,Indie,male,white,0.12228585,0.15483136,0.040363144,0.6825196,52.72727273
Amsterdam Baroque Orchestra,Classical,unknown,api,0.96720725,0.003962353,0.016025353,0.012805046,28.46153846
Amy Grant,Rock,female,white,0.004785149,0.24238528,0.016439404,0.7363902,36.03846154
Amy Millan,Indie,female,hispanic,0.03765866,0.016684202,0.53500164,0.4106555,57
Ana Belén,Pop,female,white,0.022347763,0.05057938,0.074881226,0.8521916,54
Ana Bárbara,Pop,female,white,0.015852176,0.011339694,0.13376789,0.8390403,50.70588235
Ana Gabriel,Pop,female,white,0.13933283,0.070916735,0.11933087,0.6704196,50.72727273
Ana Tijoux,Indie,female,white,0.000576415,0.01135394,0.019973598,0.968096,58
Ana Torroja,Pop,female,hispanic,0.050311595,0.001303128,0.92327386,0.025111333,64
Anaïs Mitchell,Indie,female,white,0.002910362,0.32916576,0.019280376,0.6486435,44
Anders Miolin,Classical,male,white,0.008760504,0.11390808,0.022263529,0.8550679,41
Andre Legacy,Rap,male,white,0.003411797,0.04534369,0.008503507,0.94274104,46
Andre Nickatina,Rap,male,white,0.01309049,0.009738006,0.017093142,0.96007836,40.2
Andre Watts,Classical,male,white,0.005306733,0.099573515,0.020692863,0.8744269,6
Andre de Ridder,Classical,male,white,0.008007792,0.09498283,0.018261641,0.87874776,52
Andrea Bocelli,Pop,female,white,0.002248978,0.001934027,0.015440992,0.980376,54.76470588
Andreas Moss,Pop,male,white,0.005902295,0.077192456,0.033208393,0.88369685,67
Andreas Scholl,Classical,male,white,0.00528155,0.004801842,0.017435435,0.9724812,50
Andrew Bird,Indie,male,white,0.00312857,0.08352764,0.015936254,0.8974075,48.6
Andrew Hill,Jazz,male,white,0.004379957,0.12843871,0.028124467,0.8390568,19.81818182
Andrew Litton,Classical,male,white,0.002233211,0.32938913,0.016787125,0.6515905,48
Andrew Manze,Classical,male,white,0.00278547,0.017218104,0.025899982,0.9540965,47.5
András Schiff,Classical,male,white,0.002490979,0.009177777,0.012035295,0.97629595,31.77419355
André 3000,Hip-hop,male,white,0.017662633,0.09494912,0.035301268,0.85208696,52.17647059
André Laplante,Classical,male,white,0.004304606,0.011021392,0.019987777,0.9646863,55
Andrés Calamaro,Pop,male,white,0.009716108,0.00641469,0.12413619,0.85973305,64.6
Andrés Segovia,Classical,male,hispanic,0.02328485,0.004542072,0.8680316,0.104141444,2.201550388
Andy Gibb,Pop,male,white,0.005407684,0.16363162,0.016968658,0.813992,34.82142857
Andy Grammer,EDM,male,white,0.010746531,0.09174857,0.017271176,0.8802337,64.5862069
Andy Mineo,Hip-hop,male,white,0.104877055,0.019238172,0.18638046,0.6895043,52.44444444
Ane Brun,Pop,female,white,0.001087613,0.24691573,0.012773776,0.7392229,52.5
Angel Lopez,Hip-hop,male,hispanic,0.012527775,0.00429302,0.8926657,0.090513535,71
Angel Romero,Classical,male,hispanic,0.0501835,0.003362351,0.5731259,0.37332818,28
Angel Y Khriz,Hip-hop,male,api,0.7495165,0.02995255,0.02304874,0.19748217,64.8
Angela Carrasco,Pop,female,hispanic,0.08133228,0.002193587,0.7037237,0.21275035,51
Angela Chang,Pop,female,api,0.856879,0.004956833,0.013983743,0.124180414,53
Angela Gheorghiu,Pop,female,white,0.05576532,0.03797134,0.016127262,0.8901361,49
Angie Martinez,Pop,female,hispanic,0.00806063,0.006043405,0.926012,0.059884094,53
Angus & Julia Stone,Indie,male,white,0.004282491,0.03861549,0.016654598,0.94044745,54.22222222
Ani DiFranco,Indie,female,white,0.015594337,0.016404117,0.032179296,0.9358223,41.82352941
Anita Baker,Jazz,female,white,0.12641576,0.06101074,0.029423518,0.78314996,51.14285714
Anita Mui,Pop,female,api,0.9481308,0.000909959,0.0294482,0.02151097,41.8
Anitta,Pop,female,white,0.088574104,0.003947011,0.005585587,0.9018933,38
Anja Lechner,Classical,female,white,0.00221314,0.011844703,0.01518587,0.9707563,47
Anjulie,Pop,unknown,white,0.001048294,0.24899916,0.010119459,0.7398331,69
Ann Marie,EDM,female,white,0.005636121,0.1362272,0.024746839,0.8333898,62
Anna Clendening,Pop,female,white,0.001623133,0.08081583,0.012645274,0.90491575,62.66666667
Anna Margaret,Pop,female,white,0.003207268,0.010082022,0.028127205,0.9585835,58
Anna Moffo,Classical,female,white,0.004556828,0.018274654,0.017983502,0.959185,21.33333333
Anna Tomowa-Sintow,Classical,female,white,0.003074858,0.20480634,0.010238847,0.7818799,43
Anna Wise,Indie,female,white,0.008218209,0.15304543,0.014630639,0.8241057,58.5
Anna of the North,Indie,female,white,0.003326072,0.077583484,0.017087989,0.9020024,62.33333333
Anne Murray,Country,female,white,0.021223834,0.13885605,0.039314024,0.8006061,41.88461538
Anne Queffélec,Classical,female,white,0.003657588,0.010257065,0.009801585,0.9762838,39.4
Anne Sofie von Otter,Pop,female,white,0.003661748,0.015554994,0.01582717,0.96495605,44
Anne-Marie,EDM,female,white,0.002708094,0.11111783,0.020008435,0.86616564,70.18181818
Anne-Sophie Mutter,Classical,unknown,white,0.005095237,0.09019953,0.01998543,0.8847198,37.5
Anneliese Rothenberger,Classical,female,white,0.005238118,0.004215999,0.013799484,0.97674644,0
Annie Lennox,Pop,female,white,0.002104249,0.10116314,0.014191385,0.8825412,47.38596491
Annie Ross,Jazz,female,white,0.001559757,0.07868964,0.012013662,0.90773696,13.75
Annika Wells,Pop,female,white,0.003513319,0.04902199,0.010210621,0.93725413,56
Anoushirvan Rohani,Pop,unknown,api,0.46761042,0.010034936,0.062715076,0.4596396,32
Ant Banks,Rap,male,white,0.003109989,0.26943102,0.010538406,0.71692055,33
Ant Beale,Rap,male,white,0.002910364,0.1692752,0.012482696,0.8153317,70
Ant Clemons,Indie,male,white,0.001516736,0.4145983,0.013338259,0.5705467,66
Ant Saunders,Pop,male,white,0.003534671,0.08755555,0.024289513,0.88462025,76.33333333
Anthony Halstead,Classical,male,white,0.00888356,0.33266884,0.007824,0.65062356,50
Anthony Newman,Classical,male,white,0.007078722,0.043072954,0.013053206,0.9367951,14.5
Anthony Santos,Pop,male,hispanic,0.08401972,0.008205603,0.48243523,0.4253395,36.30769231
Anthrax,Metal,unknown,white,0.01227869,0.21881868,0.018561117,0.75034153,37.56321839
Anton Bruckner,Classical,male,white,0.006779925,0.049955525,0.018170552,0.925094,0.5
Anton Dermota,Classical,male,white,0.041777015,0.004593941,0.24885947,0.70476955,0
Anton Rubinstein,Classical,male,white,0.010326281,0.012046183,0.02063419,0.9569933,7.888888889
Anton Webern,Classical,male,white,0.004252075,0.008500492,0.012416172,0.9748312,0
Antonietta Stella,Classical,female,white,0.007163366,0.003197008,0.027098631,0.962541,0
Antonio Flores,Pop,male,hispanic,0.02984301,0.002478087,0.88522536,0.08245357,53
Antonio Francisco Braga,Classical,male,api,0.8707266,0.005464341,0.028435031,0.09537401,0
Antonio Pappano,Classical,male,white,0.012780467,0.006187684,0.08380013,0.89723176,52
Antonio Vega,Pop,male,hispanic,0.06020339,0.011159553,0.8147435,0.113893494,57
Antonio Vivaldi,Classical,male,white,0.035053913,0.005844665,0.3996243,0.5594771,33.54098361
Antonín Dvořák,Classical,male,white,0.08480021,0.025435833,0.021607645,0.8681563,17.29508197
Antônio Carlos Jobim,Jazz,male,white,0.12154981,0.08418091,0.05915669,0.7351126,37.81603774
Anuel,Rap,unknown,white,0.02723664,0.07429985,0.11643356,0.7820299,66
Anuel AA,Rap,unknown,white,0.005355625,0.098276906,0.012597042,0.8837704,73.20879121
Anuradha,Pop,female,api,0.57765543,0.017884497,0.018441282,0.3860188,53
Anuradha Paudwal,Pop,female,api,0.9627585,0.002189522,0.001457505,0.03359452,7.615384615
Apashe,Rap,unknown,white,0.014139618,0.073316775,0.026090616,0.88645303,55
Apathy,Hip-hop,unknown,white,0.03177573,0.116240084,0.012860737,0.8391234,50
Apocalyptica,Pop,unknown,white,0.032303914,0.008158182,0.08419673,0.8753412,49.77777778
Aqualung,Indie,unknown,white,0.20237361,0.01595036,0.06231139,0.71936464,47.66666667
Aram Khachaturian,Classical,male,api,0.5906375,0.0864402,0.007866361,0.31505594,11.625
Arcadi Volodos,Classical,unknown,white,0.002344457,0.002984974,0.019052848,0.9756177,1
Arcangel,Hip-hop,unknown,hispanic,0.0609626,0.005541497,0.648133,0.285363,59.37777778
Arcangelo Corelli,Classical,male,white,0.002408836,0.000597756,0.013324169,0.9836692,26
Archie,Pop,male,black,0.002495857,0.56353366,0.008114269,0.42585614,46
Archie Eversole,Hip-hop,male,white,0.005261186,0.03806493,0.009194184,0.94747967,46.66666667
Archie Shepp,Jazz,male,white,0.007051254,0.04129936,0.01712587,0.93452346,25.77777778
Ardyn,Pop,unknown,white,0.002101902,0.077797,0.018445665,0.90165544,60
Aretha Franklin,Jazz,female,white,0.005835775,0.07791708,0.022951478,0.89329565,30.86635945
Ari Lennox,Indie,male,white,0.001102569,0.035025448,0.031688325,0.9321837,64.15384615
Ariana Grande,EDM,female,white,0.044792436,0.00364117,0.23449357,0.7170728,67.14012739
Ariel Ramírez,Classical,male,hispanic,0.12663157,0.002416499,0.792197,0.078754924,47
Arijit Singh,Pop,unknown,api,0.6766003,0.011991075,0.023186103,0.28822264,0.222222222
Arik Einstein,Pop,male,white,0.004613451,0.004654038,0.013654411,0.9770781,38.5
Arin Ray,Indie,male,white,0.113475114,0.08669031,0.06840643,0.7314282,62.66666667
Arizona Zervas,Pop,unknown,hispanic,0.04604864,0.002428988,0.9013965,0.050125815,75.58333333
Armand Bégué,EDM,male,white,0.11360931,0.07097396,0.20952383,0.6058929,15
Armand Van Helden,EDM,male,white,0.004944424,0.015102869,0.11178027,0.8681724,54
Armando Manzanero,Pop,male,hispanic,0.03870412,0.001376355,0.82790947,0.13201009,43.83333333
