source,target,release_date,populairty
Pyotr Ilyich Tchaikovsky,Chicago Symphony Orchestra,1946,0
Jascha Heifetz,Fritz Reiner,1946,0
Jascha Heifetz,Chicago Symphony Orchestra,1946,0
Fritz Reiner,Chicago Symphony Orchestra,1946,0
Giuseppe Verdi,Arturo Toscanini,1946,0
Giacomo Puccini,Arturo Toscanini,1946,2
Johannes Brahms,Isaac Stern,1946,0
Anton Bruckner,Bruno Walter,1946,0
Wolfgang Amadeus Mozart,George Szell,1947,0
Udit Narayan,Kavita Krishnamurthy,1947,0
Aram Khachaturian,Woody Herman & His Orchestra,1947,1
Franz Joseph Haydn,Isaac Stern,1947,0
Franz Joseph Haydn,Mstislav Rostropovich,1947,0
Franz Joseph Haydn,Jean-Pierre Rampal,1947,0
Isaac Stern,Mstislav Rostropovich,1947,0
Isaac Stern,Jean-Pierre Rampal,1947,0
Mstislav Rostropovich,Jean-Pierre Rampal,1947,0
Wolfgang Amadeus Mozart,Cleveland Orchestra,1947,0
George Szell,Cleveland Orchestra,1947,0
Antonio Vivaldi,Isaac Stern,1947,0
Antonio Vivaldi,Eugene Ormandy,1947,0
Antonio Vivaldi,Philadelphia Orchestra,1947,0
Isaac Stern,Eugene Ormandy,1947,0
Isaac Stern,Philadelphia Orchestra,1947,0
Eugene Ormandy,Philadelphia Orchestra,1947,0
Andrés Segovia,Johann Sebastian Bach,1947,2
Max Bruch,Isaac Stern,1947,0
Max Bruch,Eugene Ormandy,1947,0
Max Bruch,Philadelphia Orchestra,1947,0
Igor Stravinsky,New York Philharmonic,1948,0
Igor Stravinsky,Concertgebouworkest,1948,0
Robert Schumann,Bruno Walter,1948,0
Ludwig van Beethoven,Jascha Heifetz,1948,0
Igor Stravinsky,Michael Tilson Thomas,1948,0
Igor Stravinsky,Benny Goodman,1948,0
Giacomo Puccini,Luis Cobos,1948,0
Igor Stravinsky,Joseph Szigeti,1948,0
Igor Stravinsky,Seiji Ozawa,1948,0
Igor Stravinsky,Leonard Bernstein,1948,0
Igor Stravinsky,London Symphony Orchestra,1948,0
Leonard Bernstein,London Symphony Orchestra,1948,0
Béla Bartók,Concertgebouworkest,1948,0
Wolfgang Amadeus Mozart,Budapest String Quartet,1948,0
Antonín Dvořák,New York Philharmonic,1948,0
Antonín Dvořák,Bruno Walter,1948,0
Igor Stravinsky,Eugene Ormandy,1948,0
Johann Sebastian Bach,Igor Stravinsky,1948,0
Igor Stravinsky,Woody Herman Orchestra,1948,0
Igor Stravinsky,Esa-Pekka Salonen,1948,0
Johannes Brahms,Jascha Heifetz,1948,0
