name,filtered_genre,gender
Adam K & Soha,EDM,male
Adam Lambert,EDM,male
Adam Levine,Pop,male
Adam Melchor,Indie,male
Adele,Pop,female
Adelitas Way,Metal,androgynous
Adem,Metal,male
Adema,Metal,unknown
Adina Howard,Pop,female
Adje,Hip-hop,female
Admiral Bailey,EDM,female
Adrian Gurvitz,Rock,male
Adrian Marcel,Pop,male
Adriana Calcanhotto,Pop,female
Adriana Proenza,Indie,female
Adrianne Pieczonka,Classical,female
Adriano Celentano,Pop,male
Adriel Favela,Pop,unknown
Adrienne Albert,Classical,female
Adrián Patiño,Classical,male
Adventure Club,EDM,unknown
Aegis,Rock,unknown
Aer,Rock,unknown
Aero Chord,EDM,unknown
Aerodrom,Rock,unknown
Aerosmith,Rock,unknown
Aesop Rock,Hip-hop,male
Africando,Jazz,unknown
Afrika Bambaataa,Hip-hop,unknown
Afro B,EDM,male
Afro Bros,Hip-hop,male
Afro-Cuban All Stars,Jazz,unknown
Afrojack,EDM,unknown
Afroman,Hip-hop,unknown
After The Burial,Metal,female
Aftertheparty,Rap,unknown
Afu-Ra,Hip-hop,unknown
Against Me!,Indie,unknown
Against The Current,Pop,female
Agent Steel,Metal,unknown
Agnes,Pop,female
Agnes Baltsa,Classical,female
Agnes Giebel,Classical,female
Agnes Obel,Pop,female
Agnetha Fältskog,Pop,female
Agnostic Front,Oldies,unknown
Aguaturbia,Rock,unknown
Agust D,Rap,unknown
Agustín Barrios Mangoré,Classical,male
Ahlam,Pop,female
Ahmad Jamal,Jazz,male
Ahmad Jamal Trio,Jazz,male
Ahmet Kaya,Rock,male
Ahrix,EDM,unknown
Aiko,Pop,female
Ailee,Pop,unknown
Aim,Pop,unknown
Aimee Mann,Indie,female
Aimer,Pop,unknown
Air,Oldies,unknown
Air Supply,Oldies,unknown
Airbourne,Metal,unknown
Airiel,Indie,unknown
Airplay,Rock,unknown
Aisha Badru,Indie,female
Aitch,Hip-hop,unknown
Ajda Pekkan,Jazz,female
Akademie für Alte Musik Berlin,Classical,unknown
Akin,Country,unknown
Akina Nakamori,Pop,female
Akinyele,Hip-hop,unknown
Akon,EDM,unknown
Akwid,Hip-hop,unknown
Al Alberts,Indie,male
Al Bano,Pop,male
Al Bano And Romina Power,Pop,male
Al Bowlly,EDM,male
Al Cohn,Jazz,male
Al Dexter & His Troopers,Country,male
Al Di Meola,Jazz,male
Al Haig Trio,Jazz,male
Al Hirt,Jazz,male
Al Jarreau,Jazz,male
Al Jolson,Jazz,male
Al Kooper,Country,male
Al Martino,Pop,male
Al Stewart,Country,male
Alabama,Country,unknown
Alabama Shakes,Indie,unknown
Alabina,Pop,unknown
Alain Bashung,Indie,male
Alain Goraguer,EDM,male
Alain Planes,Classical,male
Alain Souchon,Indie,male
Alaina Castillo,Pop,female
Alaine,Rock,unknown
Alan Gilbert,Classical,male
Alan Jackson,Country,male
Alan Parsons,Oldies,male
Alan Tam,Pop,male
Alanis Morissette,Pop,female
Alannah Myles,Pop,female
Alaska Y Dinarama,Pop,unknown
Alban Berg,Classical,male
Alban Berg Quartett,Classical,male
Albert Ayler,Jazz,male
Albert Collins,Rock,male
Albert Hammond,EDM,male
Albert Hammond Jr,EDM,male
Albert King,Rock,male
Albert Lortzing,Classical,male
Alberto Cortez,Pop,male
Alberto Rabagliati,Pop,male
Alberto Vazquez,Pop,male
Alcatrazz,Metal,unknown
Alda Noni,Classical,female
Aldo Ciccolini,Classical,male
Aldo Donà,Pop,male
Aldo Nova,Metal,male
Aldo Protti,Classical,male
Aldo Trujillo,Pop,male
Alec Benjamin,Pop,male
Alegre All Stars,Jazz,unknown
Alejandra Guzman,Pop,female
Alejandro Escovedo,Country,male
Alejandro Fernández,Pop,male
Alejandro Sanz,Pop,male
Aleks Syntek,Pop,male
Alesana,Metal,unknown
Alessandro Corbelli,Classical,male
Alessandro Safina,Pop,male
Alessandro Scarlatti,Classical,male
Alessi Brothers,Rock,unknown
Alessia Cara,EDM,female
Alessio Bax,Classical,male
Alesso,EDM,unknown
Alestorm,Metal,unknown
Alex & Sierra,Indie,male
Alex Bugnon,Jazz,male
Alex Clare,Rock,male
Alex G,Indie,male
Alex Gaudino,EDM,male
Alex Isley,Indie,male
Alex Newell,EDM,male
Alex Rose,Rap,male
Alex Turner,Indie,male
Alex Ubago,Pop,male
Alex Van Halen,Rock,male
Alex Wiley,Hip-hop,male
"Alex, Jorge Y Lena",Pop,male
Alexander 'Skip' Spence,Country,male
Alexander 23,Indie,male
Alexander Acha,Pop,male
Alexander Borodin,Classical,male
Alexander Gretchaninov,Classical,male
Alexander King,Country,male
Alexander Kipnis,Classical,male
Alexander Malter,Classical,male
Alexander Scriabin,Classical,male
Alexandra Stan,EDM,female
Alexandre Tansman,Classical,male
