artists,acousticness,danceability,duration_ms,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity,key,mode,count,genres,filtered_genre
McBride & The Ride,0.381,0.625,198827,0.401,0,0.0917,-12.127,0.024,105.344,0.429,35,7,1,2,['deep contemporary country'],Country
McCafferty,0.392325,0.53675,186881,0.761,5.37E-05,0.224,-9.08475,0.088975,141.17225,0.65325,56,9,1,8,"['alternative emo', 'indie pop']",Indie
McCoy Tyner,0.743891892,0.511351351,354035.9459,0.354189189,0.536023157,0.167664865,-15.88772973,0.048589189,109.9618919,0.397108108,26.56756757,5,0,37,"['avant-garde jazz', 'bebop', 'contemporary jazz', 'contemporary post-bop', 'cool jazz', 'free jazz', 'hard bop', 'jazz', 'jazz fusion', 'jazz piano', 'soul jazz', 'stride']",Jazz
McCoy Tyner Trio,0.7606,0.4437,325752.1,0.31546,0.2751464,0.15112,-17.8843,0.05178,118.6445,0.51963,16.3,5,1,20,"['avant-garde jazz', 'bebop', 'contemporary post-bop', 'cool jazz', 'hard bop', 'jazz', 'jazz trio', 'soul jazz', 'stride']",Jazz
McFly,0.1117,0.503,182160,0.73,0,0.16595,-4.367,0.036,113.938,0.4655,58.5,7,1,4,"['boy band', 'dance pop', 'pop', 'post-teen pop']",EDM
Mclusky,0.00157,0.452,111360,0.878,0,0.246,-6.61,0.26,91.492,0.485,41,10,0,2,"['dance-punk', 'noise rock', 'post-hardcore', 'uk noise rock', 'welsh rock']",EDM
Meaghan Martin,0.011466667,0.613333333,190406.8333,0.873166667,0.000159,0.315633333,-3.9525,0.0787,126.8393333,0.795166667,48.33333333,6,1,6,['post-teen pop'],Pop
Meat Loaf,0.373305085,0.446050847,390179.1356,0.718864407,0.003594972,0.249284746,-8.239186441,0.058786441,128.3599322,0.513101695,39.05084746,2,1,59,"['album rock', 'mellow gold', 'rock', 'soft rock']",Oldies
Meat Puppets,0.171937539,0.500173913,168573.3478,0.664130435,0.37600123,0.225043478,-9.364347826,0.049604348,128.0653913,0.690173913,29.56521739,9,1,46,"['alternative rock', 'cowpunk', 'grunge', 'lo-fi', 'post-hardcore', 'post-punk', 'punk', 'rock']",Rock
Mecano,0.433546667,0.652566667,248941.8333,0.625033333,0.029472853,0.12886,-7.7512,0.049623333,122.9129,0.665773333,44.4,9,1,60,"['latin', 'latin pop', 'rock en espanol', 'spanish pop', 'spanish pop rock']",Pop
Medasin,0.42985,0.65725,205207.25,0.572,0.369785,0.1737,-8.4475,0.203125,145.57475,0.27075,58,4,1,8,"['edm', 'electronic trap', 'electropop', 'indietronica', 'vapor soul', 'vapor twitch']",EDM
Medeski Scofield Martin & Wood,0.157,0.634,233533,0.729,0.727,0.112,-9.001,0.0419,94.26,0.952,39,8,1,2,"['jam band', 'jazz fusion', 'jazz organ']",Jazz
"Medeski, Martin & Wood",0.48075,0.535,289296.75,0.5635,0.9025,0.201525,-11.66625,0.075825,141.87125,0.68225,40.5,0,1,8,"['contemporary jazz', 'instrumental funk', 'jam band', 'jazz funk', 'jazz fusion', 'jazz organ', 'jazz trio', 'modern jazz trio']",Jazz
Medicine,0.0215,0.36,231226,0.701,9.19E-06,0.134,-6.347,0.0267,172.043,0.725,39,0,1,1,['modern folk rock'],Rock
Medina,0.0081,0.944,379800,0.56,2.23E-05,0.0613,-5.456,0.0869,127.99,0.922,47,2,0,2,['regional mexican pop'],Pop
Meek Mill,0.129721118,0.657779412,227605.7941,0.695117647,1.44E-07,0.281547059,-5.338044118,0.256992647,121.7704265,0.384001471,58.79411765,1,1,68,"['hip hop', 'philly rap', 'pop rap', 'rap', 'southern hip hop', 'trap']",Hip-hop
Meg & Dia,0.00164,0.35,161333,0.834,1.19E-05,0.149,-3.856,0.0596,192.005,0.424,56,6,0,2,"['candy pop', 'pixie', 'pop emo']",Pop
Meg Donnelly,0.158633333,0.776666667,174813.6667,0.814,0,0.085,-5.772,0.067133333,119.016,0.695666667,64,2,1,3,"['nyc pop', 'social media pop']",Pop
Meg Myers,0.00468,0.617,284333,0.609,0.0906,0.109,-5.345,0.0274,131.91,0.173,56,7,1,2,"['electropop', 'indietronica', 'modern rock', 'shimmer pop']",Indie
Megadeth,0.002283242,0.370767045,260071.4943,0.931278409,0.285251532,0.185870455,-5.060284091,0.136334091,138.8467159,0.375813068,42.88068182,11,1,176,"['album rock', 'alternative metal', 'hard rock', 'melodic thrash', 'metal', 'old school thrash', 'rock', 'speed metal', 'thrash metal']",Metal
Megan Nicole,0.345,0.672,187402,0.713,0,0.166,-6.065,0.06,91.936,0.396,53,4,1,2,"['post-teen pop', 'viral pop']",Pop
Megan Thee Stallion,0.037063842,0.823763158,179993.7105,0.691368421,1.98E-06,0.186757895,-5.656868421,0.272421053,137.5366316,0.518315789,69.34210526,11,1,38,"['houston rap', 'pop', 'pop rap', 'trap queen']",Pop
Meghan Trainor,0.186553125,0.72878125,185903.7813,0.73565625,0.000953892,0.230675,-5.1855,0.12799375,117.6762188,0.7585625,66.25,1,1,32,"['dance pop', 'hip pop', 'pop', 'post-teen pop']",EDM
Mehdi Hassan,0.883,0.427,194133,0.38,0.00208,0.143,-13.424,0.0296,98.838,0.646,25,5,0,2,"['classic bollywood', 'classic pakistani pop', 'filmi', 'ghazal', 'hindustani classical', 'indian folk', 'modern bollywood', 'pakistani pop', 'sufi']",Pop
Mehmet Kemiksiz,0.623357143,0.504214286,218092.6429,0.485214286,0.115443701,0.195907143,-8.267428571,0.0409,125.6847857,0.452214286,0,11,0,28,"['ilahiler', 'sufi chant', 'turkish classical']",Classical
Mekons,0.000965,0.54,232987,0.836,0.317,0.343,-5.714,0.0315,119.519,0.388,34,9,1,2,"['alternative rock', 'cowpunk', 'gbvfi', 'post-punk', 'uk post-punk']",Rock
Mel & Kim,0.326885,0.6375,213295.5,0.78,1.40E-05,0.1735,-7.944,0.0754,133.211,0.7735,41,10,1,4,"['hip house', 'new wave pop']",Pop
